image_name,nli_pairs,entailment_count,contradiction_count,neutral_count,contradiction_rate,consistency_score,consistency_percent
documerica_0084.jpg,49.0,6.0,2.0,41.0,0.04081632653061224,0.75,75.0
documerica_0085.jpg,42.0,19.0,1.0,22.0,0.023809523809523808,0.95,95.0
documerica_0086.jpg,54.0,9.0,5.0,40.0,0.09259259259259259,0.6428571428571429,64.28571428571429
documerica_0087.jpg,35.0,10.0,1.0,24.0,0.02857142857142857,0.9090909090909091,90.9090909090909
documerica_0088.jpg,34.0,10.0,1.0,23.0,0.029411764705882353,0.9090909090909091,90.9090909090909
documerica_0089.jpg,54.0,16.0,5.0,33.0,0.09259259259259259,0.7619047619047619,76.19047619047619
documerica_0090.jpg,39.0,10.0,6.0,23.0,0.15384615384615385,0.625,62.5
documerica_0091.jpg,53.0,7.0,2.0,44.0,0.03773584905660377,0.7777777777777778,77.77777777777779
documerica_0092.jpg,51.0,5.0,4.0,42.0,0.0784313725490196,0.5555555555555556,55.55555555555556
documerica_0093.jpg,39.0,10.0,0.0,29.0,0.0,1.0,100.0
documerica_0094.jpg,53.0,7.0,6.0,40.0,0.11320754716981132,0.5384615384615384,53.84615384615385
documerica_0095.jpg,33.0,1.0,1.0,31.0,0.030303030303030304,0.5,50.0
documerica_0096.jpg,29.0,10.0,1.0,18.0,0.034482758620689655,0.9090909090909091,90.9090909090909
