claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0087.jpg_claim_15,documerica_0087.jpg,0,0,0,0,,
documerica_0096.jpg_claim_12,documerica_0096.jpg,0,0,0,0,,
documerica_0053.jpg_claim_18,documerica_0053.jpg,3,0,0,3,,
documerica_0095.jpg_claim_7,documerica_0095.jpg,8,0,0,8,,
documerica_0049.jpg_claim_13,documerica_0049.jpg,5,1,0,4,1.0,100.0
documerica_0092.jpg_claim_21,documerica_0092.jpg,0,0,0,0,,
documerica_0076.jpg_claim_5,documerica_0076.jpg,2,0,0,2,,
documerica_0075.jpg_claim_7,documerica_0075.jpg,6,0,0,6,,
documerica_0045.jpg_claim_9,documerica_0045.jpg,1,0,0,1,,
documerica_0065.jpg_claim_19,documerica_0065.jpg,0,0,0,0,,
documerica_0020.jpg_claim_5,documerica_0020.jpg,0,0,0,0,,
documerica_0039.jpg_claim_19,documerica_0039.jpg,0,0,0,0,,
documerica_0014.jpg_claim_5,documerica_0014.jpg,4,1,1,2,0.5,50.0
documerica_0008.jpg_claim_0,documerica_0008.jpg,4,0,0,4,,
documerica_0012.jpg_claim_4,documerica_0012.jpg,10,1,1,8,0.5,50.0
documerica_0019.jpg_claim_8,documerica_0019.jpg,2,0,0,2,,
documerica_0026.jpg_claim_21,documerica_0026.jpg,2,0,0,2,,
documerica_0057.jpg_claim_2,documerica_0057.jpg,1,1,0,0,1.0,100.0
documerica_0010.jpg_claim_14,documerica_0010.jpg,2,0,1,1,0.0,0.0
documerica_0044.jpg_claim_10,documerica_0044.jpg,8,3,1,4,0.75,75.0
documerica_0012.jpg_claim_1,documerica_0012.jpg,4,0,0,4,,
documerica_0049.jpg_claim_18,documerica_0049.jpg,0,0,0,0,,
documerica_0027.jpg_claim_4,documerica_0027.jpg,2,1,0,1,1.0,100.0
documerica_0042.jpg_claim_18,documerica_0042.jpg,1,0,0,1,,
documerica_0088.jpg_claim_12,documerica_0088.jpg,3,0,0,3,,
documerica_0005.jpg_claim_4,documerica_0005.jpg,10,6,0,4,1.0,100.0
documerica_0062.jpg_claim_17,documerica_0062.jpg,4,2,0,2,1.0,100.0
documerica_0049.jpg_claim_5,documerica_0049.jpg,9,5,0,4,1.0,100.0
documerica_0017.jpg_claim_11,documerica_0017.jpg,4,2,1,1,0.6666666666666666,66.66666666666666
documerica_0042.jpg_claim_11,documerica_0042.jpg,4,1,0,3,1.0,100.0
documerica_0096.jpg_claim_14,documerica_0096.jpg,0,0,0,0,,
documerica_0049.jpg_claim_15,documerica_0049.jpg,0,0,0,0,,
documerica_0019.jpg_claim_2,documerica_0019.jpg,0,0,0,0,,
documerica_0007.jpg_claim_17,documerica_0007.jpg,0,0,0,0,,
documerica_0036.jpg_claim_23,documerica_0036.jpg,2,2,0,0,1.0,100.0
documerica_0041.jpg_claim_12,documerica_0041.jpg,5,2,1,2,0.6666666666666666,66.66666666666666
documerica_0084.jpg_claim_10,documerica_0084.jpg,4,1,0,3,1.0,100.0
documerica_0060.jpg_claim_22,documerica_0060.jpg,3,0,0,3,,
documerica_0057.jpg_claim_9,documerica_0057.jpg,1,0,0,1,,
documerica_0096.jpg_claim_22,documerica_0096.jpg,0,0,0,0,,
documerica_0079.jpg_claim_9,documerica_0079.jpg,1,0,0,1,,
documerica_0022.jpg_claim_14,documerica_0022.jpg,3,1,0,2,1.0,100.0
documerica_0022.jpg_claim_17,documerica_0022.jpg,5,5,0,0,1.0,100.0
documerica_0071.jpg_claim_17,documerica_0071.jpg,0,0,0,0,,
documerica_0041.jpg_claim_1,documerica_0041.jpg,2,1,0,1,1.0,100.0
documerica_0093.jpg_claim_11,documerica_0093.jpg,8,8,0,0,1.0,100.0
documerica_0095.jpg_claim_3,documerica_0095.jpg,11,0,0,11,,
documerica_0016.jpg_claim_2,documerica_0016.jpg,5,0,1,4,0.0,0.0
documerica_0096.jpg_claim_10,documerica_0096.jpg,4,0,0,4,,
documerica_0046.jpg_claim_0,documerica_0046.jpg,20,5,2,13,0.7142857142857143,71.42857142857143
documerica_0090.jpg_claim_22,documerica_0090.jpg,6,1,0,5,1.0,100.0
documerica_0040.jpg_claim_12,documerica_0040.jpg,5,3,0,2,1.0,100.0
documerica_0046.jpg_claim_14,documerica_0046.jpg,4,1,0,3,1.0,100.0
documerica_0040.jpg_claim_17,documerica_0040.jpg,2,0,0,2,,
documerica_0072.jpg_claim_11,documerica_0072.jpg,5,1,0,4,1.0,100.0
documerica_0016.jpg_claim_15,documerica_0016.jpg,7,1,5,1,0.16666666666666666,16.666666666666664
documerica_0085.jpg_claim_11,documerica_0085.jpg,8,0,1,7,0.0,0.0
documerica_0005.jpg_claim_9,documerica_0005.jpg,11,2,0,9,1.0,100.0
documerica_0018.jpg_claim_14,documerica_0018.jpg,6,4,0,2,1.0,100.0
documerica_0091.jpg_claim_7,documerica_0091.jpg,10,3,0,7,1.0,100.0
documerica_0083.jpg_claim_3,documerica_0083.jpg,5,0,0,5,,
documerica_0090.jpg_claim_19,documerica_0090.jpg,0,0,0,0,,
documerica_0008.jpg_claim_9,documerica_0008.jpg,8,7,0,1,1.0,100.0
documerica_0024.jpg_claim_5,documerica_0024.jpg,0,0,0,0,,
documerica_0031.jpg_claim_25,documerica_0031.jpg,1,0,0,1,,
documerica_0076.jpg_claim_21,documerica_0076.jpg,3,1,0,2,1.0,100.0
documerica_0052.jpg_claim_19,documerica_0052.jpg,5,1,0,4,1.0,100.0
documerica_0054.jpg_claim_6,documerica_0054.jpg,3,0,2,1,0.0,0.0
documerica_0058.jpg_claim_10,documerica_0058.jpg,10,3,0,7,1.0,100.0
documerica_0042.jpg_claim_2,documerica_0042.jpg,7,2,0,5,1.0,100.0
documerica_0047.jpg_claim_7,documerica_0047.jpg,2,1,0,1,1.0,100.0
documerica_0078.jpg_claim_22,documerica_0078.jpg,6,1,0,5,1.0,100.0
documerica_0024.jpg_claim_17,documerica_0024.jpg,2,0,0,2,,
documerica_0042.jpg_claim_0,documerica_0042.jpg,25,5,0,20,1.0,100.0
documerica_0060.jpg_claim_10,documerica_0060.jpg,4,0,0,4,,
documerica_0028.jpg_claim_4,documerica_0028.jpg,2,2,0,0,1.0,100.0
documerica_0082.jpg_claim_6,documerica_0082.jpg,0,0,0,0,,
documerica_0026.jpg_claim_19,documerica_0026.jpg,4,0,0,4,,
documerica_0024.jpg_claim_7,documerica_0024.jpg,17,7,0,10,1.0,100.0
documerica_0076.jpg_claim_23,documerica_0076.jpg,0,0,0,0,,
documerica_0047.jpg_claim_13,documerica_0047.jpg,9,8,0,1,1.0,100.0
documerica_0032.jpg_claim_18,documerica_0032.jpg,1,0,0,1,,
documerica_0077.jpg_claim_3,documerica_0077.jpg,10,2,0,8,1.0,100.0
documerica_0058.jpg_claim_13,documerica_0058.jpg,6,4,0,2,1.0,100.0
documerica_0037.jpg_claim_6,documerica_0037.jpg,1,0,0,1,,
documerica_0066.jpg_claim_6,documerica_0066.jpg,11,2,0,9,1.0,100.0
documerica_0073.jpg_claim_5,documerica_0073.jpg,9,9,0,0,1.0,100.0
documerica_0025.jpg_claim_21,documerica_0025.jpg,0,0,0,0,,
documerica_0094.jpg_claim_6,documerica_0094.jpg,9,1,4,4,0.2,20.0
documerica_0051.jpg_claim_6,documerica_0051.jpg,2,0,0,2,,
documerica_0020.jpg_claim_9,documerica_0020.jpg,0,0,0,0,,
documerica_0093.jpg_claim_18,documerica_0093.jpg,0,0,0,0,,
documerica_0044.jpg_claim_9,documerica_0044.jpg,4,3,0,1,1.0,100.0
documerica_0045.jpg_claim_3,documerica_0045.jpg,1,0,0,1,,
