image_name,nli_pairs,entailment_count,contradiction_count,neutral_count,contradiction_rate,consistency_score,consistency_percent,total_claims,supported_claims,unsupported_claims,unverifiable_claims,not_checkable_claims,metadata_checkable_claims,metadata_support_score,reliability_score,reliability_category
documerica_0026.jpg,35.0,10.0,0.0,25.0,0.0,1.0,100.0,24,0,0,5,19,0,,100.0,high
documerica_0031.jpg,28.0,11.0,0.0,17.0,0.0,1.0,100.0,27,0,0,1,26,0,,100.0,high
documerica_0065.jpg,32.0,11.0,0.0,21.0,0.0,1.0,100.0,23,0,0,1,22,0,,100.0,high
documerica_0061.jpg,43.0,13.0,0.0,30.0,0.0,1.0,100.0,21,0,0,0,21,0,,100.0,high
documerica_0055.jpg,56.0,20.0,0.0,36.0,0.0,1.0,100.0,19,0,0,2,17,0,,100.0,high
documerica_0060.jpg,37.0,10.0,0.0,27.0,0.0,1.0,100.0,27,0,0,1,26,0,,100.0,high
documerica_0037.jpg,32.0,14.0,0.0,18.0,0.0,1.0,100.0,24,0,0,3,21,0,,100.0,high
documerica_0042.jpg,49.0,18.0,0.0,31.0,0.0,1.0,100.0,25,0,0,2,23,0,,100.0,high
documerica_0040.jpg,48.0,19.0,0.0,29.0,0.0,1.0,100.0,26,0,0,2,24,0,,100.0,high
documerica_0075.jpg,44.0,7.0,0.0,37.0,0.0,1.0,100.0,20,0,0,0,20,0,,100.0,high
documerica_0078.jpg,36.0,10.0,0.0,26.0,0.0,1.0,100.0,24,0,0,1,23,0,,100.0,high
documerica_0077.jpg,51.0,20.0,0.0,31.0,0.0,1.0,100.0,24,0,0,5,19,0,,100.0,high
documerica_0074.jpg,40.0,16.0,0.0,24.0,0.0,1.0,100.0,24,0,0,2,22,0,,100.0,high
documerica_0093.jpg,39.0,10.0,0.0,29.0,0.0,1.0,100.0,24,0,0,1,23,0,,100.0,high
